record_type,query_id,date,source,query,url,title,returned_count,decision,exclusion_reason,access_status,study_id,raw_record,notes
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/An-Inter-Comparison-of-the-Holiday-Climate/99817745102346,An Inter-Comparison of the Holiday Climate Index (HCI:Beach) and the Tourism Climate Index (TCI) to Explain Canadian Tourism Arrivals to the Caribbean - University of Surrey,18,linked_to_included_study,선정 연구의 검색 반환/서지 사본; 접근 단계는 별도 행 참조,search_return_only,HC-S01,search_records/HC-Q01.json#result-1,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://www.mdpi.com/2073-4433/11/4,Atmosphere | April 2020 - Browse Articles,18,excluded_listing,논문 자체가 아닌 목록/인물/검색/특집 페이지,search_return_only,,search_records/HC-Q01.json#result-2,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://www.mdpi.com/journal/atmosphere/special_issues/Indexes,Atmosphere | Special Issue : Development of Precise Indexes for Assessing the Potential Impacts of Climate Change,18,excluded_listing,논문 자체가 아닌 목록/인물/검색/특집 페이지,search_return_only,,search_records/HC-Q01.json#result-3,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://pubmed.ncbi.nlm.nih.gov/33416950/,"Tourism climatology: past, present, and future.",18,not_extracted_candidate,관련 가능 반환; 우선 원연구·직접 결과 중심 범위에서 추가 원문 검토하지 않음,search_return_only,,search_records/HC-Q01.json#result-4,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://www.mendeley.com/catalogue/417e5ff8-0bfe-3478-8392-04e9bb93a88e/,An Inter (HCI:Beach) and the tour... preview & related info | Mendeley,18,linked_to_included_study,선정 연구의 검색 반환/서지 사본; 접근 단계는 별도 행 참조,search_return_only,HC-S01,search_records/HC-Q01.json#result-5,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://fenix.igot.ulisboa.pt/downloadFile/563078802440222/Rutty%20et%20al_2020.pdf,An Inter-Comparison of the Holi,18,linked_to_included_study,선정 연구의 검색 반환/서지 사본; 접근 단계는 별도 행 참조,search_return_only,HC-S01,search_records/HC-Q01.json#result-6,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://revistaseug.ugr.es/index.php/cuadgeo/article/view/33900,Impacto de las condiciones atmosféricas en la dinámica y la selección de rutas en el Camino de Santiago | Cuadernos Geográficos,18,not_extracted_candidate,관련 가능 반환; 우선 원연구·직접 결과 중심 범위에서 추가 원문 검토하지 않음,search_return_only,,search_records/HC-Q01.json#result-7,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://openurl.ebsco.com/results?bquery=AU+Rutty%2C+Michelle&link_origin=&searchDescription=Rutty%2C+Michelle&sid=ebsco%3Aocu%3Arecord,"Search Results | Scholarly Articles, Journals, and E-Books | EBSCOhost",18,excluded_listing,논문 자체가 아닌 목록/인물/검색/특집 페이지,search_return_only,,search_records/HC-Q01.json#result-8,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://link.springer.com/article/10.1007/s11069-025-07516-5,Extreme weather risks for tourism in the European Union | Natural Hazards | Springer Nature Link,18,not_extracted_candidate,관련 가능 반환; 우선 원연구·직접 결과 중심 범위에서 추가 원문 검토하지 않음,search_return_only,,search_records/HC-Q01.json#result-9,
search_return,HC-Q01,2026-09-14,web.search,"""10.3390/atmos11040412""",https://www.met.hu/downloads.php?fn=%2Fmetadmin%2Fnewspaper%2F2025%2F12%2Fff9bfe4835e91c062973079ea1f0ef99-129-4-4-milenkovic.pdf,DOI:10.28974/idojaras.2025.4.4,18,not_extracted_candidate,관련 가능 반환; 우선 원연구·직접 결과 중심 범위에서 추가 원문 검토하지 않음,search_return_only,,search_records/HC-Q01.json#result-10,
